Franklin,Gough,Elliott,1,04:21.4,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Franklin,Hargis,Andrew,1,04:30.2,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Franklin,McCullough,Wyatt,1,04:41.6,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Franklin,McCracken,Noah,1,04:42.4,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Franklin,Devenport,Brayden,1,05:31.4,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Hanover,Hoegeman ,Robert,3,04:29.5,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Mount St. Joseph,Helms,Chayce,2,04:50.6,MSJ March Invitational,3/19/2022,1500 Meters,Run
Rose-Hulman,Brill,Evan,3,04:12.7,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Rose-Hulman,Storoe,Blake,3,04:26.4,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Rose-Hulman,Foster,Ryan,1,04:44.5,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Rose-Hulman,Koopman,Tyler,2,04:52.7,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Rose-Hulman,De Veirman,Willem,1,05:05.8,'22 Rose-Hulman Early Bird Invitational,3/19/2022,1500 Meters,Run
Earlham,Lindsay,Sheldan,4,24.06,MSJ March Invitational,3/19/2022,200 Meters,Run
Franklin,Patton,Nick,2,24.09,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Franklin,Brown,Jason,3,24.98,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Franklin,Davidson ,Elliot,2,25.41,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Hanover,Evans,Jamyes,3,24.04,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Hanover,Marzouk,Mouad,2,24.32,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Hanover,Rodgers,Aaron,3,25.02,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Mount St. Joseph,Samples,Chase,4,24.42,MSJ March Invitational,3/19/2022,200 Meters,Run
Mount St. Joseph,Stevie,Sean,4,25.87,MSJ March Invitational,3/19/2022,200 Meters,Run
Mount St. Joseph,Runyan,Logan,3,26.48,MSJ March Invitational,3/19/2022,200 Meters,Run
Rose-Hulman,Hobbs,Jailen,2,22.32,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Rose-Hulman,Brackett,Prescott,3,22.64,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Rose-Hulman,Jagger,Jacob,4,23.39,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Rose-Hulman,Bird,Jacob,2,23.51,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Rose-Hulman,Lemons,Ian,1,23.53,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Rose-Hulman,Demakis,John,1,26.1,'22 Rose-Hulman Early Bird Invitational,3/19/2022,200 Meters,Run
Rose-Hulman,Maynard,Trevor,3,10:29.3,'22 Rose-Hulman Early Bird Invitational,3/19/2022,3000 Steeplechase,Run
Franklin,Roberts,Zachary,2,01:04.0,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Hurdles,Run
Hanover,Johnson,Justin,4,59.21,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Hurdles,Run
Hanover,Hommell,Luke,2,01:08.7,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Hurdles,Run
Hanover,Rogers,Owen,2,01:18.1,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Hurdles,Run
Rose-Hulman,Patton,Cole,1,01:00.2,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Hurdles,Run
Rose-Hulman,McLaughlin,Logan,3,01:02.8,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Hurdles,Run
Franklin,Paddock,Luke,1,53.47,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Franklin,Konkler,Tristan,1,56.1,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Franklin,Ruble,Peyton,1,56.16,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Franklin,Davidson ,Elliot,2,57.12,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Franklin,Erickson,Sam,2,58.24,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Hanover,Evans,Jamyes,3,52.85,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Hanover,Rodgers,Aaron,3,55.68,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Mount St. Joseph,Samples,Chase,4,51.66,MSJ March Invitational,3/19/2022,400 Meters,Run
Mount St. Joseph,Runyan,Logan,3,01:00.1,MSJ March Invitational,3/19/2022,400 Meters,Run
Rose-Hulman,Eve,Jacob,2,50.35,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Rose-Hulman,Lilje,Isaiah,4,53.7,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Rose-Hulman,Thesken,Will,4,54,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Rose-Hulman,Rogers,Jonathan,1,54.86,'22 Rose-Hulman Early Bird Invitational,3/19/2022,400 Meters,Run
Earlham,Roberts,Alexander,3,16:38.2,MSJ March Invitational,3/19/2022,5000 Meters,Run
Franklin,Asplund,John,1,15:40.9,'22 Rose-Hulman Early Bird Invitational,3/19/2022,5000 Meters,Run
Franklin,Sells,Jack,1,16:13.7,'22 Rose-Hulman Early Bird Invitational,3/19/2022,5000 Meters,Run
Franklin,Lee,Corbin,3,17:57.0,'22 Rose-Hulman Early Bird Invitational,3/19/2022,5000 Meters,Run
Hanover,Weston,Ethan,3,15:31.1,'22 Rose-Hulman Early Bird Invitational,3/19/2022,5000 Meters,Run
Rose-Hulman,Sluys,John,3,15:38.7,'22 Rose-Hulman Early Bird Invitational,3/19/2022,5000 Meters,Run
Rose-Hulman,Tullius,Thomas,1,16:22.6,'22 Rose-Hulman Early Bird Invitational,3/19/2022,5000 Meters,Run
Rose-Hulman,McClure,Caden,1,16:59.4,'22 Rose-Hulman Early Bird Invitational,3/19/2022,5000 Meters,Run
Rose-Hulman,Whiteside,Elliott,3,17:00.0,'22 Rose-Hulman Early Bird Invitational,3/19/2022,5000 Meters,Run
Rose-Hulman,Lindfelt,Carter,1,17:17.5,'22 Rose-Hulman Early Bird Invitational,3/19/2022,5000 Meters,Run
Earlham,Roberts,Alexander,3,02:16.5,MSJ March Invitational,3/19/2022,800 Meters,Run
Earlham,Sturm,Tristan,2,02:19.4,MSJ March Invitational,3/19/2022,800 Meters,Run
Franklin,Wilburn,Jaycee,2,02:01.9,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Franklin,Cochrane,Eli,2,02:07.2,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Franklin,McGaha,Drew,1,02:07.6,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Franklin,Heading,Michael,4,02:07.8,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Franklin,Laster,TyJay,1,02:23.9,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Mount St. Joseph,Richardson,Ty,1,02:10.1,MSJ March Invitational,3/19/2022,800 Meters,Run
Rose-Hulman,Speitel,Tyler,2,02:08.0,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Rose-Hulman,Wilson,Tim,4,02:10.5,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Rose-Hulman,Varhan,Elan,1,02:11.5,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Rose-Hulman,Johanningsmeier,Isaac,1,02:12.1,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Rose-Hulman,Wassmann,Evan,2,02:32.8,'22 Rose-Hulman Early Bird Invitational,3/19/2022,800 Meters,Run
Earlham,Hubbard,Conner,3,37.24,MSJ March Invitational,3/19/2022,Discus,Throw
Franklin,Wiley,Zak,3,39.51,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Discus,Throw
Franklin,Williams,Dalen,1,37.85,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Discus,Throw
Hanover,Stroud,Nick,4,33.92,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Discus,Throw
Hanover,Kehoe,Jake,3,32.24,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Discus,Throw
Mount St. Joseph,Briedis,Matthew,2,39.64,MSJ March Invitational,3/19/2022,Discus,Throw
Mount St. Joseph,Brophy,Decklan,2,32.51,MSJ March Invitational,3/19/2022,Discus,Throw
Mount St. Joseph,Hayes,Jonathan,3,27.83,MSJ March Invitational,3/19/2022,Discus,Throw
Mount St. Joseph,Obert,Matt,2,25.86,MSJ March Invitational,3/19/2022,Discus,Throw
Rose-Hulman,Walkowski,Andrew,3,31.22,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Discus,Throw
Rose-Hulman,Fultz,Briggs,2,29.62,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Discus,Throw
Rose-Hulman,Swanner,Ethan,2,25.81,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Discus,Throw
Rose-Hulman,Goodhew,Jacob,2,24.41,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Discus,Throw
Rose-Hulman,Almaraz,Jorge,1,23.34,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Discus,Throw
Earlham,Mahaney,John,4,34.34,MSJ March Invitational,3/19/2022,Hammer,Throw
Franklin,Wiley,Zak,3,45.87,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Hammer,Throw
Franklin,Sigler,Noah,2,39.46,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Hammer,Throw
Franklin,Cox,TJ,4,37.52,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Hammer,Throw
Franklin,Hosea,Evan,4,36.61,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Hammer,Throw
Hanover,Kehoe,Jake,3,36.19,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Hammer,Throw
Hanover,Stroud,Nick,4,35.21,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Hammer,Throw
Mount St. Joseph,Brophy,Decklan,2,33.55,MSJ March Invitational,3/19/2022,Hammer,Throw
Mount St. Joseph,Hayes,Jonathan,3,33.4,MSJ March Invitational,3/19/2022,Hammer,Throw
Mount St. Joseph,Briedis,Matthew,2,32.2,MSJ March Invitational,3/19/2022,Hammer,Throw
Mount St. Joseph,Womack,Austin,2,28.86,MSJ March Invitational,3/19/2022,Hammer,Throw
Rose-Hulman,Moore,Brody,3,35.97,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Hammer,Throw
Rose-Hulman,Gipson,Kenneth,2,29.89,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Hammer,Throw
