Anderson,"Anderson, IN"
Bluffton,"Bluffton, OH"
Defiance,"Defiance, OH"
Earlham,"Richmond, IN"
Franklin,"Franklin, IN"
Hanover,"Hanover, IN"
Manchester,"North Manchester, IN"
Mount St. Joseph,"Cincinnati, OH"
Rose-Hulman,"Terre Haute, IN"
Transylvania,"Lexington, KY"
